Name,Price,Year,Kilometer,Fuel,Transmission,Engine,Location
Honda Mobilio,123000000,2015,100.000,Bensin,AT,1.5,Grogol
Toyota Alphard,260007000,2012,85.000,No fuel,No transmission,2012,Duren
Lexus RX 270,289000000,2012,75.000,No fuel,Automatic,270,SenenKemarin
Toyota Fortuner,435000000,2021,60.000,No fuel,No transmission,30,Pademangan16
Daihatsu Xenia,202000000,2022,30.000,No fuel,No transmission,1.3,Tanjung
BMW 320i,198000000,2011,70.000,No fuel,AT,320,KemayoranHari
Hyundai Palisade,720000000,2021,25.000,Diesel,AT,21.000,Kebayoran
Mazda 6,475000000,2022,15.000,No fuel,No transmission,6,PademanganHari
Honda CR-V,245000000,2017,95.000,No fuel,No transmission,2.4,Duren
Mazda 2,179000000,2016,95.000,No fuel,No transmission,2,Tanjung
Daihatsu Xenia,162000000,2021,50.000,Bensin,No transmission,2021,MatramanHari
Mazda CX-7,129000000,2010,100.000,No fuel,Automatic,7,MentengHari
Toyota Avanza,145000000,2018,65.000,No fuel,No transmission,1.3,KemayoranHari
Mercedes-Benz GLC250,430000000,2016,45.000,No fuel,No transmission,250,Kebayoran
Toyota Kijang Innova,232000000,2018,85.000,No fuel,AT,2017,JatinegaraHari
Suzuki Carry Pick-up,145000000,2023,10.000,No fuel,No transmission,2023,Pulo
Daihatsu Sigra,80000000,2017,100.000,Bensin,MT,1.2,Bekasi
Daihatsu Rocky,209000000,2022,45.000,Bensin,AT,1.0,CibuburHari
Hyundai Grand i10,85000000,2014,100.000,Bensin,MT,10,MatramanHari
Mazda CX-30,383000000,2020,45.000,Bensin,AT,30,PademanganHari
Toyota Raize,235000000,2022,25.000,Bensin,AT,1.0,Pasar
Mazda 6,370000000,2019,45.000,No fuel,AT,6,Kelapa
Mercedes-Benz Viano,1325000000,2022,5.000,No fuel,No transmission,250,Menteng27
Mitsubishi Pajero Sport,499000000,2022,35.000,No fuel,AT,4,Kelapa
Toyota Celica,350000000,2004,65.000,No fuel,Automatic,2004,Tomang3
Honda Mobilio,135000000,2015,70.000,No fuel,No transmission,2015,Kelapa
Honda HR-V,235000000,2020,15.000,No fuel,No transmission,2019,CilandakHari
BMW M3,2300000000,2023,5.000,No fuel,No transmission,3,MentengHari
Honda CR-V,468000000,2021,70.000,No fuel,No transmission,1.5,Kelapa
Mercedes-Benz S320L,185000000,1998,140.000,No fuel,No transmission,320,CilandakHari
Isuzu Traga,231000000,2023,5.000,No fuel,No transmission,No engine size,CengkarengHari
Toyota Sienta,175000000,2018,45.000,No fuel,No transmission,48,KemayoranHari
BMW 320i,342000000,2017,45.000,No fuel,No transmission,30,Johar
Toyota Rush,184000000,2018,30.000,No fuel,No transmission,30,KemayoranHari
Honda HR-V,270000000,2018,55.000,No fuel,No transmission,2018,Jakarta
Toyota Fortuner,460000000,2021,40.000,No fuel,No transmission,2021,KemayoranHari
Daihatsu Sigra,80000000,2017,100.000,Bensin,MT,1.2,Mampang
Daihatsu Sigra,117000000,2020,55.000,Bensin,MT,1.2,TamboraHari
Toyota Avanza,196000000,2021,40.000,Bensin,AT,1.5,KalideresHari
Toyota Calya,108000000,2017,85.000,Bensin,AT,1.2,CibuburHari
Honda Freed,126000000,2012,115.000,Bensin,AT,1.5,PademanganHari
Suzuki Jimny,468000000,2024,5.000,No fuel,No transmission,2024,Cilandak25
Mazda 2,108000000,2014,80.000,No fuel,AT,2,Cilandak4
Land Rover Range Rover Velar,1275000000,2018,25.000,No fuel,No transmission,250,Kebayoran
Honda Brio Satya,130000000,2018,50.000,Bensin,No transmission,2018,Pademangan27
BMW 520i,450000000,2019,55.000,No fuel,No transmission,520,KemayoranHari
BMW 320i,540000000,2020,35.000,No fuel,No transmission,320,KemayoranHari
Mercedes-Benz GLE450,1295000000,2021,40.000,No fuel,No transmission,450,Pulo
Mercedes-Benz GLC250,495000000,2017,35.000,No fuel,No transmission,250,Kebayoran
BMW X3,588000000,2018,30.000,No fuel,No transmission,3,Kebayoran
Wuling Almaz RS,259000000,2022,10.000,No fuel,No transmission,5,Kelapa
Toyota Yaris,89000000,2011,105.000,No fuel,AT,2011,TebetHari
Mobil CBU Lain-lain,2375000000,2023,5.000,No fuel,AT,1,KembanganHari
Mazda Biante,169000000,2016,100.000,No fuel,No transmission,2016,PademanganHari
Lexus LX600,3895000000,2023,5.000,No fuel,No transmission,600,Tanjung
Mercedes-Benz GLA200,370000000,2016,55.000,No fuel,No transmission,200,KemangHari
Daihatsu Sigra,80000000,2017,100.000,Bensin,MT,1.2,Kelapa
Toyota Kijang Innova,179000000,2014,135.000,Bensin,AT,2.0,CibuburHari
Daihatsu Ayla,100000000,2022,70.000,Bensin,MT,1.0,PalmerahHari
Nissan Serena,295000000,2019,55.000,Bensin,AT,2.0,PenjaringanHari
Toyota Avanza,93000000,2013,180.000,Bensin,AT,1.3,PenjaringanHari
BMW 520i,250000000,2013,65.000,No fuel,No transmission,520,Kembangan3
Land Rover Defender 110,3850000000,2023,5.000,No fuel,No transmission,2023,Kelapa
Nissan Grand livina,80650000,2011,130.000,No fuel,No transmission,No engine size,Ciracas07
Honda CR-V,295000000,2018,50.000,No fuel,No transmission,1.5,Pademangan6
Toyota mobil-bekas-toyota-innova,140000000,2010,105.000,No fuel,No transmission,2010,KojaHari
Toyota Camry,245000000,2018,90.000,No fuel,AT,30,KembanganHari
Hyundai Palisade,720000000,2021,25.000,Diesel,AT,21.000,PesanggrahanHari
Toyota Rush,235000000,2023,15.000,No fuel,AT,2023,PesanggrahanHari
BMW X3,418000000,2017,40.000,No fuel,No transmission,1,Kebayoran
Suzuki Baleno,228000000,2023,10.000,No fuel,No transmission,2023,Kebayoran
Toyota Avanza,225000000,2021,40.000,No fuel,AT,1.5,Jakarta
Mini 3 Door,610000000,2018,35.000,No fuel,No transmission,2.0,Kebayoran
Lexus LX570,625000000,2008,100.000,No fuel,No transmission,570,MentengHari
Mercedes-Benz C200,455000000,2018,40.000,No fuel,No transmission,200,PenjaringanHari
Toyota Kijang Innova,325000000,2019,100.000,No fuel,AT,2019,Taman
Daihatsu Xenia,106000000,2018,55.000,Bensin,MT,1.3,MentengHari
Mazda CX-30,383000000,2020,45.000,Bensin,AT,30,PademanganHari
Mitsubishi Outlander Sport,210000000,2018,105.000,Bensin,AT,2.0,MatramanHari
Mitsubishi Xpander,310000000,2023,10.000,Bensin,AT,1.5,CibuburHari
Suzuki SX4,150000000,2016,105.000,Bensin,AT,4,PancoranHari
Toyota Vellfire,258000000,2010,50.000,No fuel,No transmission,50,Kebon
Suzuki XL7,225000000,2024,5.000,No fuel,No transmission,7,Kelapa
Mazda 3,349000000,2019,40.000,No fuel,No transmission,3,Mampang
Mercedes-Benz GLA200,340000000,2015,85.000,No fuel,AT,200,Setia
Porsche Lain-lain,4750000000,2023,5.000,No fuel,No transmission,911,Kebayoran
BMW X3,418000000,2017,40.000,No fuel,No transmission,3,SenenHari
Nissan X-Trail,99900000,2009,165.000,No fuel,No transmission,31,CilandakHari
Toyota Fortuner,425000000,2020,70.000,No fuel,No transmission,2021,CengkarengHari
Ford Ecosport,105000000,2014,115.000,No fuel,No transmission,2014,Jakarta
Lexus LM350,1745000000,2021,40.000,No fuel,No transmission,350,KemayoranHari
Toyota Rush,199000000,2020,55.000,No fuel,No transmission,2020,PenjaringanHari
Suzuki Carry,8600000,2022,40.000,Bensin,No transmission,2022,Daan
Honda HR-V,325000000,2022,20.000,No fuel,AT,2022,TamboraHari
Mercedes-Benz E300,688000000,2017,35.000,No fuel,No transmission,300,CengkarengHari
Mercedes-Benz GLA200,399000000,2017,60.000,No fuel,AT,200,Pantai
Daihatsu Xenia,106000000,2018,55.000,Bensin,MT,1.3,Kebon
Toyota Agya,118000000,2019,30.000,Bensin,MT,1.2,MatramanHari
Daihatsu Terios,188000000,2019,30.000,Bensin,MT,1.5,Pasar
Kia Picanto,99000000,2013,105.000,Bensin,AT,1.2,Tanjung
Mitsubishi Xpander,269000000,2023,25.000,Bensin,AT,1.5,PademanganHari
BMW X1,445000000,2018,20.000,Bensin,AT,2018,Kebon
Daihatsu Ayla,59000000,2016,85.000,No fuel,MT,2016,Setia
Nissan Serena,219000000,2018,50.000,No fuel,No transmission,40,Pademangan5
Mitsubishi Delica,175000000,2015,65.000,No fuel,No transmission,2.0,Cilandak24
Jeep Jeep,965000000,2013,35.000,No fuel,AT,3.6,PademanganHari
Mercedes-Benz S500L,299000000,2009,40.000,No fuel,No transmission,500,Pasar
Toyota Kijang Innova,99000000,2006,190.000,Bensin,No transmission,2006,PademanganHari
Honda CR-V,210000000,2015,140.000,Bensin,No transmission,2015,CibuburHari
Isuzu Elf Minibus,570000000,2024,5.000,No fuel,No transmission,No engine size,CilangkapHari
Toyota Alphard,285000000,2012,120.000,Bensin,No transmission,2012,Pulo
Honda CR-V,210000000,2015,140.000,Bensin,No transmission,2015,CibuburHari
Hyundai Palisade,725000000,2021,65.000,No fuel,No transmission,2021,Kebon
Mazda CX-3,240000000,2018,65.000,No fuel,AT,10,Kebon
Daihatsu Terios,145000000,2015,105.000,No fuel,AT,15,CipayungHari
Hyundai H-1,415000000,2019,75.000,Diesel,AT,88,TebetHari
Suzuki Ignis,128000000,2021,20.000,Bensin,MT,1.2,KojaHari
Honda Mobilio,134000000,2014,135.000,Bensin,AT,1.5,CibuburHari
Suzuki S-Presso,150000000,2023,10.000,Bensin,AT,1.0,MatramanHari
Nissan Serena,209000000,2016,95.000,Bensin,AT,2.0,PademanganHari
Toyota Avanza,137000000,2016,90.000,Bensin,AT,1.3,PademanganHari
BMW X1,400000000,2019,70.000,Bensin,No transmission,1,Matraman5
Nissan Livina,160000000,2019,80.000,No fuel,No transmission,2019,Cipayung29
Toyota Avanza,153000000,2019,55.000,No fuel,MT,2019,Kebayoran
Toyota Kijang Innova,565000000,2023,10.000,No fuel,AT,65,Cilandak13
Toyota Kijang Innova,240000000,2017,75.000,Bensin,No transmission,2.0,KemayoranHari
Mercedes-Benz GLA200,399000000,2017,60.000,No fuel,AT,200,Kelapa
Nissan March,199000000,2015,120.000,No fuel,AT,1.2,Kebayoran
Toyota Avanza,118000000,2017,95.000,No fuel,No transmission,0,Pulo
Mercedes-Benz GLA200,399000000,2017,60.000,No fuel,AT,200,CilandakHari
Toyota Kijang Innova,300000000,2022,25.000,No fuel,AT,2.0,Jakarta
Kia Seltos,198000000,2020,60.000,No fuel,No transmission,1.4,KembanganHari
